"";"species";"island";"bill_length_mm";"bill_depth_mm";"flipper_length_mm";"body_mass_g";"sex";"year";"body_mass_index"
"173";"Gentoo";"Biscoe";50,2;14,3;218;5700;"male";2007;0,119939399040485
"174";"Gentoo";"Biscoe";45,1;14,5;215;5000;"female";2007;0,108166576527853
"175";"Gentoo";"Biscoe";46,5;14,5;213;4400;"female";2007;0,0969825211047191
"176";"Gentoo";"Biscoe";46,3;15,8;215;5050;"male";2007;0,109248242293131
"177";"Gentoo";"Biscoe";42,9;13,1;215;5000;"female";2007;0,108166576527853
"178";"Gentoo";"Biscoe";46,1;15,1;215;5100;"male";2007;0,11032990805841
"179";"Gentoo";"Biscoe";44,5;14,3;216;4100;NA;2007;0,0878772290809328
"180";"Gentoo";"Biscoe";47,8;15;215;5650;"male";2007;0,122228231476474
"181";"Gentoo";"Biscoe";48,2;14,3;210;4600;"female";2007;0,104308390022676
"182";"Gentoo";"Biscoe";50;15,3;220;5550;"male";2007;0,114669421487603
"183";"Gentoo";"Biscoe";47,3;15,3;222;5250;"male";2007;0,106525444363282
"184";"Gentoo";"Biscoe";42,8;14,2;209;4700;"female";2007;0,107598269270392
"185";"Gentoo";"Biscoe";45,1;14,5;207;5050;"female";2007;0,117855725921258
"186";"Gentoo";"Biscoe";59,6;17;230;6050;"male";2007;0,114366729678639
"187";"Gentoo";"Biscoe";49,1;14,8;220;5150;"female";2008;0,106404958677686
"188";"Gentoo";"Biscoe";48,4;16,3;220;5400;"male";2008;0,111570247933884
"189";"Gentoo";"Biscoe";42,6;13,7;213;4950;"female";2008;0,109105336242809
"190";"Gentoo";"Biscoe";44,4;17,3;219;5250;"male";2008;0,109463939450804
"191";"Gentoo";"Biscoe";44;13,6;208;4350;"female";2008;0,10054548816568
"192";"Gentoo";"Biscoe";48,7;15,7;208;5350;"male";2008;0,123659393491124
"193";"Gentoo";"Biscoe";42,7;13,7;208;3950;"female";2008;0,091299926035503
"194";"Gentoo";"Biscoe";49,6;16;225;5700;"male";2008;0,112592592592593
"195";"Gentoo";"Biscoe";45,3;13,7;210;4300;"female";2008;0,0975056689342404
"196";"Gentoo";"Biscoe";49,6;15;216;4750;"male";2008;0,101808984910837
"197";"Gentoo";"Biscoe";50,5;15,9;222;5550;"male";2008;0,112612612612613
"198";"Gentoo";"Biscoe";43,6;13,9;217;4900;"female";2008;0,104058272632674
"199";"Gentoo";"Biscoe";45,5;13,9;210;4200;"female";2008;0,0952380952380952
"200";"Gentoo";"Biscoe";50,5;15,9;225;5400;"male";2008;0,106666666666667
"201";"Gentoo";"Biscoe";44,9;13,3;213;5100;"female";2008;0,112411558553197
"202";"Gentoo";"Biscoe";45,2;15,8;215;5300;"male";2008;0,114656571119524
"203";"Gentoo";"Biscoe";46,6;14,2;210;4850;"female";2008;0,109977324263039
"204";"Gentoo";"Biscoe";48,5;14,1;220;5300;"male";2008;0,109504132231405
"205";"Gentoo";"Biscoe";45,1;14,4;210;4400;"female";2008;0,0997732426303855
"206";"Gentoo";"Biscoe";50,1;15;225;5000;"male";2008;0,0987654320987654
"207";"Gentoo";"Biscoe";46,5;14,4;217;4900;"female";2008;0,104058272632674
"208";"Gentoo";"Biscoe";45;15,4;220;5050;"male";2008;0,104338842975207
"209";"Gentoo";"Biscoe";43,8;13,9;208;4300;"female";2008;0,0993897928994083
"210";"Gentoo";"Biscoe";45,5;15;220;5000;"male";2008;0,103305785123967
"211";"Gentoo";"Biscoe";43,2;14,5;208;4450;"female";2008;0,102856878698225
"212";"Gentoo";"Biscoe";50,4;15,3;224;5550;"male";2008;0,110610650510204
"213";"Gentoo";"Biscoe";45,3;13,8;208;4200;"female";2008;0,0970784023668639
"214";"Gentoo";"Biscoe";46,2;14,9;221;5300;"male";2008;0,108515386662845
"215";"Gentoo";"Biscoe";45,7;13,9;214;4400;"female";2008;0,0960782601100533
"216";"Gentoo";"Biscoe";54,3;15,7;231;5650;"male";2008;0,105882573415041
"217";"Gentoo";"Biscoe";45,8;14,2;219;4700;"female";2008;0,0979962886511958
"218";"Gentoo";"Biscoe";49,8;16,8;230;5700;"male";2008;0,107750472589792
"219";"Gentoo";"Biscoe";46,2;14,4;214;4650;NA;2008;0,101537252161761
"220";"Gentoo";"Biscoe";49,5;16,2;229;5800;"male";2008;0,110600484353845
"221";"Gentoo";"Biscoe";43,5;14,2;220;4700;"female";2008;0,0971074380165289
"222";"Gentoo";"Biscoe";50,7;15;223;5550;"male";2008;0,111604898550142
"223";"Gentoo";"Biscoe";47,7;15;216;4750;"female";2008;0,101808984910837
"224";"Gentoo";"Biscoe";46,4;15,6;221;5000;"male";2008;0,102373006285703
"225";"Gentoo";"Biscoe";48,2;15,6;221;5100;"male";2008;0,104420466411417
"226";"Gentoo";"Biscoe";46,5;14,8;217;5200;"female";2008;0,110429187283654
"227";"Gentoo";"Biscoe";46,4;15;216;4700;"female";2008;0,10073731138546
"228";"Gentoo";"Biscoe";48,6;16;230;5800;"male";2008;0,109640831758034
"229";"Gentoo";"Biscoe";47,5;14,2;209;4600;"female";2008;0,105308944392299
"230";"Gentoo";"Biscoe";51,1;16,3;220;6000;"male";2008;0,12396694214876
"231";"Gentoo";"Biscoe";45,2;13,8;215;4750;"female";2008;0,10275824770146
"232";"Gentoo";"Biscoe";45,2;16,4;223;5950;"male";2008;0,119648494842044
"233";"Gentoo";"Biscoe";49,1;14,5;212;4625;"female";2009;0,102905838376646
"234";"Gentoo";"Biscoe";52,5;15,6;221;5450;"male";2009;0,111586576851416
"235";"Gentoo";"Biscoe";47,4;14,6;212;4725;"female";2009;0,105130829476682
"236";"Gentoo";"Biscoe";50;15,9;224;5350;"male";2009;0,106624681122449
"237";"Gentoo";"Biscoe";44,9;13,8;212;4750;"female";2009;0,105687077251691
"238";"Gentoo";"Biscoe";50,8;17,3;228;5600;"male";2009;0,107725453985842
"239";"Gentoo";"Biscoe";43,4;14,4;218;4600;"female";2009;0,0967931992256544
"240";"Gentoo";"Biscoe";51,3;14,2;218;5300;"male";2009;0,111522599107819
"241";"Gentoo";"Biscoe";47,5;14;212;4875;"female";2009;0,108468316126735
"242";"Gentoo";"Biscoe";52,1;17;230;5550;"male";2009;0,104914933837429
"243";"Gentoo";"Biscoe";47,5;15;218;4950;"female";2009;0,104157899166737
"244";"Gentoo";"Biscoe";52,2;17,1;228;5400;"male";2009;0,10387811634349
"245";"Gentoo";"Biscoe";45,5;14,5;212;4750;"female";2009;0,105687077251691
"246";"Gentoo";"Biscoe";49,5;16,1;224;5650;"male";2009;0,112603635204082
"247";"Gentoo";"Biscoe";44,5;14,7;214;4850;"female";2009;0,105904445803127
"248";"Gentoo";"Biscoe";50,8;15,7;226;5200;"male";2009;0,101809068838593
"249";"Gentoo";"Biscoe";49,4;15,8;216;4925;"male";2009;0,105559842249657
"250";"Gentoo";"Biscoe";46,9;14,6;222;4875;"female";2009;0,0989164840516192
"251";"Gentoo";"Biscoe";48,4;14,4;203;4625;"female";2009;0,112232764687326
"252";"Gentoo";"Biscoe";51,1;16,5;225;5250;"male";2009;0,103703703703704
"253";"Gentoo";"Biscoe";48,5;15;219;4850;"female";2009;0,101123829778362
"254";"Gentoo";"Biscoe";55,9;17;228;5600;"male";2009;0,107725453985842
"255";"Gentoo";"Biscoe";47,2;15,5;215;4975;"female";2009;0,107625743645214
"256";"Gentoo";"Biscoe";49,1;15;228;5500;"male";2009;0,105801785164666
"257";"Gentoo";"Biscoe";47,3;13,8;216;4725;NA;2009;0,101273148148148
"258";"Gentoo";"Biscoe";46,8;16,1;215;5500;"male";2009;0,118983234180638
"259";"Gentoo";"Biscoe";41,7;14,7;210;4700;"female";2009;0,106575963718821
"260";"Gentoo";"Biscoe";53,4;15,8;219;5500;"male";2009;0,11467650799608
"261";"Gentoo";"Biscoe";43,3;14;208;4575;"female";2009;0,105746116863905
"262";"Gentoo";"Biscoe";48,1;15,1;209;5500;"male";2009;0,12591286829514
"263";"Gentoo";"Biscoe";50,5;15,2;216;5000;"female";2009;0,107167352537723
"264";"Gentoo";"Biscoe";49,8;15,9;229;5950;"male";2009;0,113460841707824
"265";"Gentoo";"Biscoe";43,5;15,2;213;4650;"female";2009;0,102492891622033
"266";"Gentoo";"Biscoe";51,5;16,3;230;5500;"male";2009;0,103969754253308
"267";"Gentoo";"Biscoe";46,2;14,1;217;4375;"female";2009;0,0929091719934592
"268";"Gentoo";"Biscoe";55,1;16;230;5850;"male";2009;0,110586011342155
"269";"Gentoo";"Biscoe";44,5;15,7;217;4875;NA;2009;0,103527363078426
"270";"Gentoo";"Biscoe";48,8;16,2;222;6000;"male";2009;0,121743364986608
"271";"Gentoo";"Biscoe";47,2;13,7;214;4925;"female";2009;0,107542143418639
"272";"Gentoo";"Biscoe";NA;NA;NA;NA;NA;2009;NA
"273";"Gentoo";"Biscoe";46,8;14,3;215;4850;"female";2009;0,104921579232017
"274";"Gentoo";"Biscoe";50,4;15,7;222;5750;"male";2009;0,116670724778833
"275";"Gentoo";"Biscoe";45,2;14,8;212;5200;"female";2009;0,115699537201851
"276";"Gentoo";"Biscoe";49,9;16,1;213;5400;"male";2009;0,119024003173973
"277";"Chinstrap";"Dream";46,5;17,9;192;3500;"female";2007;0,0949435763888889
"278";"Chinstrap";"Dream";50;19,5;196;3900;"male";2007;0,101520199916701
"279";"Chinstrap";"Dream";51,3;19,2;193;3650;"male";2007;0,0979892077639668
"280";"Chinstrap";"Dream";45,4;18,7;188;3525;"female";2007;0,0997340425531915
"281";"Chinstrap";"Dream";52,7;19,8;197;3725;"male";2007;0,0959828905666211
"282";"Chinstrap";"Dream";45,2;17,8;198;3950;"female";2007;0,100755024997449
"283";"Chinstrap";"Dream";46,1;18,2;178;3250;"female";2007;0,1025754323949
"284";"Chinstrap";"Dream";51,3;18,2;197;3750;"male";2007;0,0966270710402226
"285";"Chinstrap";"Dream";46;18,9;195;4150;"female";2007;0,10913872452334
"286";"Chinstrap";"Dream";51,3;19,9;198;3700;"male";2007;0,094378124681155
"287";"Chinstrap";"Dream";46,6;17,8;193;3800;"female";2007;0,102016161507691
"288";"Chinstrap";"Dream";51,7;20,3;194;3775;"male";2007;0,100302901477309
"289";"Chinstrap";"Dream";47;17,3;185;3700;"female";2007;0,108108108108108
"290";"Chinstrap";"Dream";52;18,1;201;4050;"male";2007;0,100245043439519
"291";"Chinstrap";"Dream";45,9;17,1;190;3575;"female";2007;0,0990304709141274
"292";"Chinstrap";"Dream";50,5;19,6;201;4050;"male";2007;0,100245043439519
"293";"Chinstrap";"Dream";50,3;20;197;3300;"male";2007;0,0850318225153959
"294";"Chinstrap";"Dream";58;17,8;181;3700;"female";2007;0,112939165471139
"295";"Chinstrap";"Dream";46,4;18,6;190;3450;"female";2007;0,0955678670360111
"296";"Chinstrap";"Dream";49,2;18,2;195;4400;"male";2007;0,115713346482577
"297";"Chinstrap";"Dream";42,4;17,3;181;3600;"female";2007;0,109886755593541
"298";"Chinstrap";"Dream";48,5;17,5;191;3400;"male";2007;0,0931991995833448
"299";"Chinstrap";"Dream";43,2;16,6;187;2900;"female";2007;0,082930595670451
"300";"Chinstrap";"Dream";50,6;19,4;193;3800;"male";2007;0,102016161507691
"301";"Chinstrap";"Dream";46,7;17,9;195;3300;"female";2007;0,0867850098619329
"302";"Chinstrap";"Dream";52;19;197;4150;"male";2007;0,106933958617846
"303";"Chinstrap";"Dream";50,5;18,4;200;3400;"female";2008;0,085
"304";"Chinstrap";"Dream";49,5;19;200;3800;"male";2008;0,095
"305";"Chinstrap";"Dream";46,4;17,8;191;3700;"female";2008;0,10142265837011
"306";"Chinstrap";"Dream";52,8;20;205;4550;"male";2008;0,108268887566924
"307";"Chinstrap";"Dream";40,9;16,6;187;3200;"female";2008;0,0915096228087735
"308";"Chinstrap";"Dream";54,2;20,8;201;4300;"male";2008;0,106433009083934
"309";"Chinstrap";"Dream";42,5;16,7;187;3350;"female";2008;0,0957991363779347
"310";"Chinstrap";"Dream";51;18,8;203;4100;"male";2008;0,0994928292363319
"311";"Chinstrap";"Dream";49,7;18,6;195;3600;"male";2008;0,0946745562130177
"312";"Chinstrap";"Dream";47,5;16,8;199;3900;"female";2008;0,0984823615565264
"313";"Chinstrap";"Dream";47,6;18,3;195;3850;"female";2008;0,101249178172255
"314";"Chinstrap";"Dream";52;20,7;210;4800;"male";2008;0,108843537414966
"315";"Chinstrap";"Dream";46,9;16,6;192;2700;"female";2008;0,0732421875
"316";"Chinstrap";"Dream";53,5;19,9;205;4500;"male";2008;0,107079119571684
"317";"Chinstrap";"Dream";49;19,5;210;3950;"male";2008;0,0895691609977324
"318";"Chinstrap";"Dream";46,2;17,5;187;3650;"female";2008;0,104378163516257
"319";"Chinstrap";"Dream";50,9;19,1;196;3550;"male";2008;0,0924094127446897
"320";"Chinstrap";"Dream";45,5;17;196;3500;"female";2008;0,0911078717201166
"321";"Chinstrap";"Dream";50,9;17,9;196;3675;"female";2009;0,0956632653061224
"322";"Chinstrap";"Dream";50,8;18,5;201;4450;"male";2009;0,110145788470582
"323";"Chinstrap";"Dream";50,1;17,9;190;3400;"female";2009;0,0941828254847645
"324";"Chinstrap";"Dream";49;19,6;212;4300;"male";2009;0,0956746173015308
"325";"Chinstrap";"Dream";51,5;18,7;187;3250;"male";2009;0,0929394606651606
"326";"Chinstrap";"Dream";49,8;17,3;198;3675;"female";2009;0,0937404346495256
"327";"Chinstrap";"Dream";48,1;16,4;199;3325;"female";2009;0,0839625261988334
"328";"Chinstrap";"Dream";51,4;19;201;3950;"male";2009;0,0977698571817529
"329";"Chinstrap";"Dream";45,7;17,3;193;3600;"female";2009;0,0966468898493919
"330";"Chinstrap";"Dream";50,7;19,7;203;4050;"male";2009;0,0982795020505229
"331";"Chinstrap";"Dream";42,5;17,3;187;3350;"female";2009;0,0957991363779347
"332";"Chinstrap";"Dream";52,2;18,8;197;3450;"male";2009;0,0888969053570048
"333";"Chinstrap";"Dream";45,2;16,6;191;3250;"female";2009;0,0890874701899619
"334";"Chinstrap";"Dream";49,3;19,9;203;4050;"male";2009;0,0982795020505229
"335";"Chinstrap";"Dream";50,2;18,8;202;3800;"male";2009;0,0931281246936575
"336";"Chinstrap";"Dream";45,6;19,4;194;3525;"female";2009;0,0936603252205335
"337";"Chinstrap";"Dream";51,9;19,5;206;3950;"male";2009;0,0930813460269582
"338";"Chinstrap";"Dream";46,8;16,5;189;3650;"female";2009;0,102180790011478
"339";"Chinstrap";"Dream";45,7;17;195;3650;"female";2009;0,0959894806048652
"340";"Chinstrap";"Dream";55,8;19,8;207;4000;"male";2009;0,0933510700366403
"341";"Chinstrap";"Dream";43,5;18,1;202;3400;"female";2009;0,0833251641995883
"342";"Chinstrap";"Dream";49,6;18,2;193;3775;"male";2009;0,101345002550404
"343";"Chinstrap";"Dream";50,8;19;210;4100;"male";2009;0,0929705215419501
"344";"Chinstrap";"Dream";50,2;18,7;198;3775;"female";2009;0,0962911947760433
